property_type,society,sector,price_in_lacs,price_per_sqft_inrs,builtup,bedRoom,bathroom,balcony,floorNum,agePossession,furnish_type,servant_room,study room,pooja room,store_room,others,luxury_score
flat,m3m heights,sector 65 ,265.0,18492.0,1433.05,2,2,3,4.0,New Property,0.0,0,1,0,0,0,43.0
flat,supertech basera,sector 79 ,36.0,7643.0,546.0,2,2,1,4.0,New Property,0.0,0,0,0,0,0,148.0
flat,signature global the millennia,sector 37d ,55.0,9166.0,543.0,2,2,3,3.0,New Property,0.0,0,0,0,0,0,49.0
flat,m3m soulitude,sector 89 ,132.0,16923.0,867.0,3,3,3,1.0,Under Construction,2.0,0,0,0,0,0,49.0
flat,raheja vanya,sector 99a ,59.0,3975.0,1133.0,2,2,3,1.0,Under Construction,0.0,0,0,0,0,1,15.0
flat,"ganpati apartment  2, laxman vihar phase 1",sector 4,45.0,4705.0,944.0,2,2,1,0.0,Relatively New,2.0,0,0,0,0,0,16.0
flat,ramprastha the atrium,sector 37d ,90.0,6225.0,1185.0,3,3,2,13.0,Relatively New,0.0,0,0,0,0,0,52.0
flat,m3m golfestate,sector 79 ,140.0,10000.0,1555.0,2,2,2,4.0,Relatively New,2.0,1,1,0,1,0,60.0
flat,eldeco accolade,sohna road,95.0,6542.0,1129.0,2,2,3+,6.0,New Property,0.0,0,1,0,0,0,72.0
flat,m3m heights,sector 65 ,300.0,18000.0,1666.67,3,3,3,20.0,Under Construction,0.0,0,0,0,0,0,38.0
flat,m3m heights,sector 65 ,367.0,17990.0,2040.02,3,3,2,27.0,Under Construction,0.0,1,0,0,0,0,74.0
flat,vatika sovereign next,sector 82a ,385.0,7500.0,5710.0,5,6,3+,6.0,New Property,0.0,1,0,1,0,0,126.0
flat,m3m heights,sector 65 ,329.0,17997.0,1828.08,3,3,3,33.0,New Property,0.0,0,0,0,0,0,13.0
